family,family_label,block_name,mean_test_roc_auc,mean_test_pr_auc,mean_test_balanced_accuracy,mean_test_f1,mean_test_brier,mean_threshold,n_splits
hist_gradient_boosting,HistGradientBoosting,B3_context_ae,0.9547197679189998,0.907328938619647,0.9001152135756844,0.8728662624899316,0.08537347464654566,0.2986401749788127,3
hist_gradient_boosting,HistGradientBoosting,B2_context,0.9399327312951375,0.8709630762696076,0.8773764585209327,0.8490560084569254,0.0966545985610464,0.5000805579044103,3
random_forest,Random Forest,B3_context_ae,0.9272015567169619,0.889146389539464,0.8366570814876567,0.8145561651208727,0.11125042570948836,0.492514967613302,3
hist_gradient_boosting,HistGradientBoosting,B1_engineered,0.925851360496473,0.8503326875348535,0.8610075593082333,0.8283691695203895,0.10369582710522625,0.5180517300269808,3
hist_gradient_boosting,HistGradientBoosting,B0_base,0.9216511160754584,0.8344215449702066,0.8686780465352734,0.8363058479593856,0.1046088446180357,0.479114104438215,3
random_forest,Random Forest,B2_context,0.9194217090184926,0.8591830476405713,0.8230158798643187,0.802053983122189,0.11024551964236144,0.5389743903530174,3
random_forest,Random Forest,B0_base,0.8826606619895431,0.8163677107957104,0.7828475622963317,0.7728062885825516,0.15393743547875052,0.5072238058271668,3
logistic_regression,Logistic Regression,B2_context,0.8545554469902953,0.789983350561616,0.722250251401826,0.6773040734251277,0.1345475467190975,0.3401016974038147,3
random_forest,Random Forest,B1_engineered,0.8399073817004826,0.7917521501963171,0.7742874855989795,0.7643269759184744,0.17924314942881972,0.47097175855488355,3
logistic_regression,Logistic Regression,B1_engineered,0.8303704247106864,0.7631791857907647,0.7192407282037093,0.6852281708224511,0.13531984135091504,0.33207046707775345,3
logistic_regression,Logistic Regression,B0_base,0.8264413192008435,0.7581352006346239,0.795516428830899,0.7407898400833784,0.14059786891881987,0.30943554217320984,3
logistic_regression,Logistic Regression,B3_context_ae,0.8120819032081036,0.7507366440806001,0.6812900270895724,0.6413049080173729,0.15268158548230212,0.37760499972236355,3
