strategy,split_id,subset,n_rows,n_cloud,n_non_cloud,n_missing_selected
by_image,holdout_O012791,train,122793,57396,65397,0
by_image,holdout_O012791,val,30116,2325,27791,0
by_image,holdout_O012791,test,54772,21244,33528,0
by_image,holdout_O013257,train,109827,60019,49808,0
by_image,holdout_O013257,val,27028,478,26550,0
by_image,holdout_O013257,test,70826,20468,50358,0
by_image,holdout_O013490,train,100646,39865,60781,0
by_image,holdout_O013490,val,24952,1847,23105,0
by_image,holdout_O013490,test,82083,39253,42830,0
spatial_within_image,O012791_x_gt_q80,train,35286,21016,14270,0
spatial_within_image,O012791_x_gt_q80,val,8554,228,8326,0
spatial_within_image,O012791_x_gt_q80,test,10932,0,10932,0
spatial_within_image,O013257_x_gt_q80,train,45585,15682,29903,0
spatial_within_image,O013257_x_gt_q80,val,11221,2939,8282,0
spatial_within_image,O013257_x_gt_q80,test,14020,1847,12173,0
spatial_within_image,O013490_x_gt_q80,train,53004,37686,15318,0
spatial_within_image,O013490_x_gt_q80,val,12983,1089,11894,0
spatial_within_image,O013490_x_gt_q80,test,16096,478,15618,0
