strategy,split_id,family,family_label,block_name,n_features,features,params_json,threshold,random_state,train_roc_auc,train_pr_auc,train_balanced_accuracy,train_f1,train_brier,train_sensitivity,train_specificity,train_tn,train_fp,train_fn,train_tp,val_roc_auc,val_pr_auc,val_balanced_accuracy,val_f1,val_brier,val_sensitivity,val_specificity,val_tn,val_fp,val_fn,val_tp,test_roc_auc,test_pr_auc,test_balanced_accuracy,test_f1,test_brier,test_sensitivity,test_specificity,test_tn,test_fp,test_fn,test_tp,prediction_path
by_image,holdout_O012791,logistic_regression,Logistic Regression,B0_base,5,"SD,NDAI,AF,AN,BF","{""C"": 0.1}",0.2309191370896308,214,0.9459641620853559,0.9030193957419106,0.9156101145671178,0.9110757639179573,0.08451832525584704,0.9480451599414593,0.8831750691927764,57757,7640,2982,54414,0.9481099590143478,0.6121192756430768,0.9275940497484487,0.6784866233971822,0.05828349800398795,0.9217204301075269,0.9334676693893706,25942,1849,182,2143,0.788709039005093,0.7196854987274656,0.7366485495746078,0.6938735449423866,0.17404316862747016,0.8319525513086048,0.6413445478406108,21503,12025,3570,17674,/Users/jayding/Desktop/DUKE/YY/歪歪长官的任务/Stat 214/stat-214-local/lab2/results/part3/predictions/by_image/holdout_O012791/logistic_regression__B0_base__test_predictions.csv
by_image,holdout_O012791,random_forest,Random Forest,B0_base,5,"SD,NDAI,AF,AN,BF","{""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 50}",0.4832573238298724,214,0.9945879248331726,0.9936267468742173,0.9623108463855321,0.9592650873984604,0.028529923134304518,0.9824378005435919,0.9421838922274722,61616,3781,1008,56388,0.9930774835049485,0.9194837448628793,0.9669590178300935,0.8159564823209429,0.026194331015810104,0.967741935483871,0.966176100176316,26851,940,75,2250,0.716880329532656,0.616472471695506,0.5548872563891719,0.5764353104658817,0.3268399583005455,0.9275089437017511,0.1822655690765927,6111,27417,1540,19704,/Users/jayding/Desktop/DUKE/YY/歪歪长官的任务/Stat 214/stat-214-local/lab2/results/part3/predictions/by_image/holdout_O012791/random_forest__B0_base__test_predictions.csv
by_image,holdout_O012791,hist_gradient_boosting,HistGradientBoosting,B0_base,5,"SD,NDAI,AF,AN,BF","{""l2_regularization"": 0.1, ""learning_rate"": 0.03, ""max_depth"": null, ""min_samples_leaf"": 100}",0.3318475334346893,214,0.9936813242640544,0.9922228144216455,0.9578625152544958,0.9543556636203572,0.02859463613436446,0.9915847794271377,0.9241402510818539,60436,4961,483,56913,0.9922983343799319,0.9010625980305659,0.9674402829414489,0.7522094926350246,0.025036611722415295,0.9883870967741936,0.9464934691087042,26304,1487,27,2298,0.8288876635837408,0.6681471014151099,0.8028483239878732,0.7612478819894348,0.18153013480329572,0.8987949538693278,0.7069016941064186,23701,9827,2150,19094,/Users/jayding/Desktop/DUKE/YY/歪歪长官的任务/Stat 214/stat-214-local/lab2/results/part3/predictions/by_image/holdout_O012791/hist_gradient_boosting__B0_base__test_predictions.csv
by_image,holdout_O012791,logistic_regression,Logistic Regression,B1_engineered,10,"SD,NDAI,AF,AN,BF,ndai_x_sd,af_df_gap,front_back_ratio,rad_cv,rad_range","{""C"": 10.0}",0.23960417266346568,214,0.9573290340992031,0.940362809747942,0.9118936888084799,0.9072736252605497,0.07364689663515445,0.9441598717680675,0.8796275058488922,57525,7872,3205,54191,0.9544590246010639,0.6924657348396547,0.9201008990688174,0.6469428007889546,0.04741499639707844,0.916989247311828,0.9232125508258069,25657,2134,193,2132,0.7968898953590602,0.7024280523386355,0.5254402231094677,0.5551269922130849,0.17881331928404712,0.8976652231218226,0.15321522309711286,5137,28391,2174,19070,/Users/jayding/Desktop/DUKE/YY/歪歪长官的任务/Stat 214/stat-214-local/lab2/results/part3/predictions/by_image/holdout_O012791/logistic_regression__B1_engineered__test_predictions.csv
by_image,holdout_O012791,random_forest,Random Forest,B1_engineered,10,"SD,NDAI,AF,AN,BF,ndai_x_sd,af_df_gap,front_back_ratio,rad_cv,rad_range","{""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 50}",0.3880154313160801,214,0.995334970368924,0.9945391677727482,0.9624923652990864,0.9592968221771467,0.02647021782516108,0.9887797059028504,0.9362050246953224,61225,4172,644,56752,0.9936707907681105,0.9246452910642649,0.9702140593980491,0.8071732954545454,0.023095490448235174,0.9776344086021506,0.9627937101939477,26757,1034,52,2273,0.5827628324469489,0.546408490513009,0.5473214557281091,0.5751327218350671,0.40397967027261267,0.945961212577669,0.14868169887854926,4985,28543,1148,20096,/Users/jayding/Desktop/DUKE/YY/歪歪长官的任务/Stat 214/stat-214-local/lab2/results/part3/predictions/by_image/holdout_O012791/random_forest__B1_engineered__test_predictions.csv
by_image,holdout_O012791,hist_gradient_boosting,HistGradientBoosting,B1_engineered,10,"SD,NDAI,AF,AN,BF,ndai_x_sd,af_df_gap,front_back_ratio,rad_cv,rad_range","{""l2_regularization"": 0.1, ""learning_rate"": 0.03, ""max_depth"": null, ""min_samples_leaf"": 100}",0.38415132279044184,214,0.9946126934093729,0.9934360311813744,0.9640193558344599,0.9609197737817061,0.026523192356270604,0.9887448602690083,0.9392938513999113,61427,3970,646,56750,0.9935679416597698,0.9136392423824868,0.9709809433935253,0.8013349727735816,0.022092183426109788,0.9810752688172043,0.9608866179698463,26704,1087,44,2281,0.8365999384344813,0.7112874559462312,0.7984492012701182,0.7563420871047611,0.18222350869359416,0.8771417812088119,0.7197566213314245,24132,9396,2610,18634,/Users/jayding/Desktop/DUKE/YY/歪歪长官的任务/Stat 214/stat-214-local/lab2/results/part3/predictions/by_image/holdout_O012791/hist_gradient_boosting__B1_engineered__test_predictions.csv
by_image,holdout_O012791,logistic_regression,Logistic Regression,B2_context,15,"SD,NDAI,AF,AN,BF,ndai_x_sd,af_df_gap,front_back_ratio,rad_cv,rad_range,local_SD_mean3,local_NDAI_std3,local_SD_std3,local_rad_std_std3,local_rad_mean_std3","{""C"": 1.0}",0.2507038178490013,214,0.9649439799889161,0.9522235811686992,0.9203484466035747,0.9158242923635017,0.0646452976866383,0.94788835458917,0.8928085386179794,58387,7010,2991,54405,0.9772901956733111,0.7733499390774135,0.9493518710900064,0.7260542661000327,0.03709292877943961,0.9552688172043011,0.9434349249757116,26219,1572,104,2221,0.8368826519142144,0.7384965409425462,0.5803522201572341,0.5922522710660959,0.16899490167273856,0.9344756166446997,0.22622882366976854,7585,25943,1392,19852,/Users/jayding/Desktop/DUKE/YY/歪歪长官的任务/Stat 214/stat-214-local/lab2/results/part3/predictions/by_image/holdout_O012791/logistic_regression__B2_context__test_predictions.csv
by_image,holdout_O012791,random_forest,Random Forest,B2_context,15,"SD,NDAI,AF,AN,BF,ndai_x_sd,af_df_gap,front_back_ratio,rad_cv,rad_range,local_SD_mean3,local_NDAI_std3,local_SD_std3,local_rad_std_std3,local_rad_mean_std3","{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10}",0.4571900540851736,214,0.9992846092318696,0.9991862977498348,0.9825106320584288,0.9806511372602834,0.012732545089348818,0.996062443375845,0.9689588207410126,63367,2030,226,57170,0.9978205832088443,0.9717563306282399,0.9856203466504783,0.8809614650896604,0.014331214675481848,0.9931182795698925,0.978122413731064,27183,608,16,2309,0.8162338738977702,0.713888809062559,0.695790574758717,0.6650015830020755,0.21198563725012087,0.8898512521182451,0.5017298973991887,16822,16706,2340,18904,/Users/jayding/Desktop/DUKE/YY/歪歪长官的任务/Stat 214/stat-214-local/lab2/results/part3/predictions/by_image/holdout_O012791/random_forest__B2_context__test_predictions.csv
by_image,holdout_O012791,hist_gradient_boosting,HistGradientBoosting,B2_context,15,"SD,NDAI,AF,AN,BF,ndai_x_sd,af_df_gap,front_back_ratio,rad_cv,rad_range,local_SD_mean3,local_NDAI_std3,local_SD_std3,local_rad_std_std3,local_rad_mean_std3","{""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_depth"": null, ""min_samples_leaf"": 100}",0.3865641293132798,214,0.9993344548941704,0.9992235439707106,0.9852995703550451,0.983633584639956,0.010053086180496218,0.9979092619694753,0.972689878740615,63611,1786,120,57276,0.9975930940743174,0.9640925666414565,0.988281392250837,0.902734375,0.011116275446097218,0.993978494623656,0.982584289878018,27307,484,14,2311,0.8610873078326696,0.7230710950717272,0.8007319573405116,0.7578420681249599,0.17649479821845462,0.8341649406891357,0.7672989739918874,25726,7802,3523,17721,/Users/jayding/Desktop/DUKE/YY/歪歪长官的任务/Stat 214/stat-214-local/lab2/results/part3/predictions/by_image/holdout_O012791/hist_gradient_boosting__B2_context__test_predictions.csv
by_image,holdout_O012791,logistic_regression,Logistic Regression,B3_context_ae,18,"SD,NDAI,AF,AN,BF,ndai_x_sd,af_df_gap,front_back_ratio,rad_cv,rad_range,local_SD_mean3,local_NDAI_std3,local_SD_std3,local_rad_std_std3,local_rad_mean_std3,ae4,ae5,ae0","{""C"": 10.0}",0.27695069132764144,214,0.9670539061097678,0.956105590919069,0.9204103440000169,0.9158205929554861,0.06102774380889146,0.9445257509234093,0.8962949370766243,58615,6782,3184,54212,0.975758393198386,0.7848874837337707,0.9387372101202408,0.7081775321086002,0.03518257156108003,0.9367741935483871,0.9407002266920945,26143,1648,147,2178,0.7792995384079926,0.6943651265255222,0.5025891881227227,0.5440707513074535,0.21144631031580527,0.903502165317266,0.10167621092817943,3409,30119,2050,19194,/Users/jayding/Desktop/DUKE/YY/歪歪长官的任务/Stat 214/stat-214-local/lab2/results/part3/predictions/by_image/holdout_O012791/logistic_regression__B3_context_ae__test_predictions.csv
